,id,v,baidu1,baidu2,baidu3,baidu4,xunfei1,xunfei2,xunfei3,xunfei4
0,11,1,1,1,1,1,1,1,1,1
1,11,2,1,1,1,1,1,1,1,1
2,11,3,1,1,1,1,1,1,1,1
3,12,1,1,1,1,1,1,1,1,1
4,12,2,1,1,1,1,1,1,1,1
5,12,3,1,1,1,1,1,1,1,1
6,13,1,1,1,1,1,0,0,0,0
7,13,2,1,1,1,1,0,0,0,0
8,13,3,1,1,1,1,0,0,0,0
9,20,1,1,1,1,1,0,0,0,0
10,20,2,1,1,1,1,0,0,0,0
11,20,3,1,1,1,1,0,0,0,0
12,21,1,1,1,1,1,1,1,1,1
13,21,2,1,1,1,1,0,0,0,0
14,21,3,1,1,1,1,0,0,0,0
15,22,1,1,1,1,1,1,1,1,0
16,22,2,1,1,1,1,1,1,1,0
17,22,3,1,1,1,1,1,1,0,0
18,23,1,1,1,1,1,0,0,0,0
19,23,2,1,1,1,1,0,0,0,0
20,23,3,1,1,1,1,0,0,0,0
21,24,1,1,1,1,1,0,0,0,0
22,24,2,1,1,1,1,1,1,1,1
23,24,3,1,1,1,1,0,0,0,0
24,25,1,1,1,1,1,0,0,0,0
25,25,2,1,1,1,1,1,1,1,1
26,25,3,1,1,1,1,0,0,0,0
27,26,1,1,1,1,1,1,1,1,1
28,26,2,1,1,1,1,1,1,1,1
29,26,3,1,1,1,1,1,1,1,1
30,27,1,1,1,1,1,1,1,1,1
31,27,2,1,1,1,1,1,1,1,1
32,27,3,1,1,1,1,1,1,1,1
33,28,1,1,1,1,1,1,1,1,1
34,28,2,1,1,1,1,1,1,1,1
35,28,3,1,1,1,1,0,0,0,0
36,29,1,1,1,1,1,1,1,1,1
37,29,2,1,1,1,1,0,0,0,0
38,29,3,1,1,1,1,0,0,0,0
39,31,1,1,1,1,1,0,0,0,0
40,31,2,1,1,1,1,0,0,0,0
41,31,3,0,0,0,0,0,0,0,0
42,32,1,1,1,1,1,0,0,0,0
43,32,2,1,1,1,1,0,0,0,0
44,32,3,1,1,1,1,0,0,0,0
45,33,1,1,1,1,1,0,0,0,0
46,33,2,1,1,1,1,0,0,0,0
47,33,3,1,1,1,1,1,1,1,1
48,34,1,1,1,1,1,0,0,0,0
49,34,2,1,1,1,1,0,0,0,0
50,34,3,1,1,1,1,0,0,0,0
51,35,1,1,1,1,1,1,1,1,1
52,35,2,1,1,1,1,0,0,0,0
53,35,3,1,1,1,1,0,0,0,0
54,36,1,1,1,1,1,0,0,0,0
55,36,2,1,1,1,1,0,0,0,0
56,36,3,1,1,1,1,0,0,0,0
57,41,1,1,1,1,1,0,0,0,0
58,41,2,1,1,1,1,0,0,0,0
59,41,3,1,1,1,1,0,0,0,0
60,42,1,1,1,1,1,1,1,1,1
61,42,2,1,1,1,1,1,1,1,1
62,42,3,1,1,1,1,0,0,0,0
63,43,1,1,1,1,1,0,0,0,0
64,43,2,1,1,1,1,0,0,0,0
65,43,3,1,1,1,1,0,0,0,0
66,44,1,1,1,1,1,0,0,0,0
67,44,2,1,1,1,1,0,0,0,0
68,44,3,1,1,1,1,0,0,0,0
69,45,1,1,1,1,1,0,0,0,0
70,45,2,0,0,0,0,0,0,0,0
71,45,3,0,0,0,0,0,0,0,0
72,46,1,1,1,1,1,0,0,0,0
73,46,2,1,1,1,1,0,0,0,0
74,46,3,1,1,1,1,0,0,0,0
75,51,1,1,1,1,1,1,1,1,1
76,51,2,1,1,1,1,1,1,1,1
77,51,3,1,1,1,1,1,1,1,1
78,52,1,1,1,1,1,1,1,1,1
79,52,2,1,1,1,1,1,1,1,1
80,52,3,1,1,1,1,0,0,0,0
81,53,1,1,1,1,1,1,1,1,1
82,53,2,1,1,1,1,1,1,1,1
83,53,3,1,1,1,1,0,0,0,0
84,54,1,1,1,1,1,1,1,1,1
85,54,2,1,1,1,1,0,0,0,0
86,54,3,0,0,0,0,0,0,0,0
87,61,1,1,1,1,1,0,0,0,0
88,61,2,1,1,1,1,1,1,1,1
89,61,3,1,1,1,1,0,0,0,0
90,62,1,1,1,1,1,1,1,1,1
91,62,2,1,1,1,1,1,1,1,1
92,62,3,1,1,1,1,1,1,1,1
93,63,1,1,1,1,1,1,1,1,1
94,63,2,1,1,1,1,1,1,1,1
95,63,3,1,1,1,1,1,1,1,1
96,64,1,1,1,1,1,0,0,0,0
97,64,2,1,1,1,1,0,0,0,0
98,64,3,1,1,1,1,0,0,0,0
99,65,1,1,1,1,1,0,0,0,0
100,65,2,1,1,1,1,1,1,1,1
101,65,3,1,1,1,1,1,1,1,1
102,66,1,1,1,1,1,0,0,0,0
103,66,2,1,1,1,1,0,0,0,0
104,66,3,1,1,1,1,0,0,0,0
105,67,1,1,1,1,1,1,1,1,1
106,67,2,1,1,1,1,1,1,1,1
107,67,3,1,1,1,1,0,0,0,0
