切换为桌面模式,11
切换为虚拟现实模式,12
切换为遨游模式,13
切换主结构为线风格,20
切换主结构为点风格,21
切换主结构为主链风格,22
切换主结构为球风格,23
切换主结构为棍风格,24
切换主结构为球棍风格,25
切换主结构为钢丝风格,26
切换主结构为二级结构风格,27
隐藏主结构,28
显示主结构,29
切换配体结构为线风格,31
切换配体结构为球风格,32
切换配体结构为棍风格,33
切换配体结构为球棍风格,34
隐藏配体,35
显示配体,36
显示水分子,41
隐藏水分子,42
显示氢键,43
隐藏氢键,44
显示突变,45
隐藏突变,46
表面透明,51
表面网格,52
隐藏表面,53
显示表面,54
按照元素着色,61
按照氨基酸着色,62
按照二级结构着色,63
按照链着色,64
按照B因子着色,65
按照谱着色,66
按照疏水性着色,67
按照保守性着色,68
切换为拖拽,71
切换为标签,72
旋转,73
横轴旋转,741
纵轴旋转,742
竖轴旋转,743
顺时针旋转,751
逆时针旋转,752
移动,76
横轴移动,771
纵轴移动,772
竖轴移动,773
正向移动,781
反向移动,782
停止旋转,701
停止移动,702
